以下是所有节点的时间信息完整版。考虑到上一轮节点的部分遗漏，本版对节点列表进行了补充和精修，按四类分别给出。

---

## 一、人名节点

### 导师辈

| 节点 | 关系 | 时间 | 描述 |
| **Christoph Lassner** | World Labs联合创始人 | 2017年9月博士毕业后加入创业公司Bodylabs（被亚马逊收购）；2019年3月加入Facebook Reality Labs；后加入World Labs成为联合创始人 | World Labs联合创始人，专注于3D视觉与计算机图形学 |
| **Rick Sommer** | AI4ALL联合创始人 | 1990年加入斯坦福数学系任助理教授；1995年联合创办斯坦福数学夏令营并任主任逾25年；2017年与李飞飞、Olga Russakovsky共同创立AI4ALL；现任斯坦福大学数学与哲学讲师 | 斯坦福大学数学系资深讲师；AI4ALL联合创始人 |
| **Zhenyu Jiang** | 徒孙辈(Yuke Zhu的学生) | 清华本科（2020年进入UT Austin）；UT Austin博士生，导师Yuke Zhu；目前在英伟达研究院实习 | 与导师Yuke Zhu等在DexMimicGen等具身智能项目中有合作 |


## 二、公司/机构节点

| 节点 | 关系 | 时间 | 描述 |
| :--- | :--- | :--- | :--- |
| **World Labs** | 创始人兼CEO | 创立于2024年1月（李飞飞领英主页信息）；2024年4月获约1亿美元融资，估值10亿美元成为独角兽；2024年9月正式对外公开并宣布2.3亿美元融资（由a16z、NEA和Radical Ventures联合领投）；2026年2月再获10亿美元融资，估值达50亿美元 | 李飞飞2024年创办的初创公司，聚焦"空间智能"，构建大型世界模型（LWM），让AI在3D世界中感知、生成与互动 |
| **Google Cloud** | 前AI/ML首席科学家(2017–2018) | 谷歌云成立于2008年；李飞飞于2017年初至2018年底在此任职，推动Cloud AutoML等产品 | 谷歌母公司Alphabet旗下的云计算部门 |
| **斯坦福大学** | 教授(2009年至今) | 1885年成立，1891年正式招生；李飞飞于2009年加入任助理教授，2012年获终身教职（副教授），后升任正教授，现为红杉讲席教授 | 世界顶级研究型大学，位于加州硅谷 |
| **普林斯顿大学** | 本科母校&曾任教(2007–2009) | 1746年创立（前身新泽西学院），1896年正式改名；李飞飞于1999年获物理学荣誉学士学位，2007–2009年任计算机科学系助理教授 | 常春藤盟校，李飞飞的本硕母校及早期任教地 |
| **加州理工学院 (Caltech)** | 博士母校 | 1891年由Amos G. Throop创立，1920年改为现名；李飞飞2000年入学，2005年获电气工程博士学位 | 全球顶尖理工研究型学府 |
| **伊利诺伊大学香槟分校 (UIUC)** | 曾任教(2005–2006) | 创建于1867年；李飞飞于2005–2006年任电机系助理教授，此为博士毕业后的首份教职 | 公立研究型大学，工程与计算机科学学科实力强劲 |
| **Twitter/X** | 前独立董事(2020–2022) | 2006年3月21日成立；李飞飞于2020–2022年任独立董事 | 全球知名社交媒体平台，2022年被马斯克收购后更名为X |
| **Radical Ventures** | 科学合伙人 | 2017年成立，总部位于加拿大多伦多，是最早专注于AI投资的VC之一；李飞飞于2023年加入担任科学合伙人 | 知名AI风险投资机构，投资了Cohere、World Labs等 |
| **NVIDIA (英伟达)** | 投资方/学生雇主 | 1993年4月5日由黄仁勋等人创立；学生Jim Fan和Yuke Zhu均任职于此；2024年9月通过旗下NVentures投资World Labs | 全球GPU与AI计算领导者 |
| **AMD** | 投资方 | 1969年由杰里·桑德斯创立；2024年9月通过AMD Ventures投资World Labs | 全球半导体设计与计算平台公司 |
| **Andreessen Horowitz (a16z)** | 投资方 | 2009年由Marc Andreessen和Ben Horowitz创立；2024年联合领投World Labs的2.3亿美元融资 | 硅谷顶级风险投资机构 |
| **Emerson Collective** | 投资方 | 2004年由劳伦·鲍威尔·乔布斯创立；参与投资World Labs | 影响力投资与慈善组织，聚焦教育、环境等领域 |
| **富达管理研究公司 (Fidelity)** | 投资方 | 1946年由爱德华·C·约翰逊二世在波士顿创立；参与投资World Labs | 全球最大的资产管理公司之一 |
| **Autodesk** | 投资方/3D设计合作方 | 1982年成立于美国加州圣拉斐尔；投资World Labs并展开3D设计领域深度合作 | 全球知名3D设计、工程及娱乐软件公司 |


## 三、产品/项目/论文节点
其中Marble是和世界模型最相关的。其余的只是和李飞飞本人的相关节点

| 节点 | 关系 | 时间 | 描述 |
| :--- | :--- | :--- | :--- |
| **ImageNet论文 (CVPR 2009)** | 论文作者 | 2006年李飞飞提出构想，2007年正式启动项目，2009年在CVPR 2009首次以论文形式发布 | 超大规模图像数据集，包含约1500万张图片、覆盖超2万个类别，被公认为深度学习革命的关键催化剂 2009年发表于CVPR会议 | 正式论文题为《ImageNet: A Large-Scale Hierarchical Image Database》，Jia Deng为第一作者，李飞飞等共同发表 |
| **Stanford HAI** (以人为本AI研究院) | 联合创始人/联合主任 | 2018年10月宣布HAI计划，2019年3月18日正式成立；李飞飞与John Etchemendy联合担任院长；2026年李飞飞升任校长AI特别顾问及HAI顾问委员会联席主席 | 斯坦福跨学科AI研究院，聚焦AI的社会影响与人文关怀 |
| **SAIL** (斯坦福人工智能实验室) | 前主任(2013–2018) | 1963年由John McCarthy创立；李飞飞于2013–2018年担任主任，是该实验室首位女性掌舵人；2018年11月由Christopher Manning接任 | 世界最具影响力的AI研究实验室之一 |
| **CS231n** | 课程设计者/主讲人 | 2015年由李飞飞、Andrej Karpathy和Justin Johnson联合首次开设；首年150人选修，2016年增至330人，2017年达750人，成为斯坦福最受欢迎的课程之一 | 斯坦福经典课程《用于视觉识别的卷积神经网络》，全球影响力最大的深度学习计算机视觉课程 |
| **谷歌AI中国中心** | 创始人/领导者 | 2017年12月13日在上海谷歌开发者大会上正式宣布成立，设在北京；由李飞飞与李佳共同领导 | 谷歌在亚洲的首个AI研究中心，专注基础AI研究 |
| **AI4ALL** | 联合创始人/主席 | 前身SAILORS于2015年夏季由李飞飞、Olga Russakovsky和Rick Sommer发起；AI4ALL于2017年正式注册成立，由李飞飞、Olga Russakovsky和Rick Sommer共同创办 | 非营利教育组织，致力于提高AI领域多样性，让女性和少数族裔青少年接触AI |
| **SAILORS** | 关联项目(AI4ALL前身) | 2015年夏季由李飞飞、Olga Russakovsky、Rick Sommer共同创建；2018年起更名为Stanford AI4ALL | 斯坦福人工智能实验室夏季拓展项目，面向九年级女生的人工智能夏令营 |
| **Cloud AutoML** | 产品负责人(谷歌时期) | 2018年1月17日首次发布（Alpha版），首先推出AutoML Vision；2018年7月在Google Cloud NEXT大会上推出涵盖视觉、翻译、自然语言三大工具的正式版 | 李飞飞和李佳在谷歌云期间主推的"傻瓜式"机器学习工具，让非专业人士也能训练定制化AI模型 |
| **Marble** | World Labs首款核心产品 | 2025年9月推出预览版，2025年11月12日正式公开发布 | World Labs发布的3D世界生成工具，支持从图像、视频或文字生成空间连贯、可交互编辑的3D虚拟世界 |
